Year,Gender,AgeBin,p_art
2004,0,"[15,25)",0.0
2004,0,"[25,35)",0.0
2004,0,"[35,45)",0.0
2004,0,"[45,100)",0.0
2004,1,"[15,25)",0.0
2004,1,"[25,35)",0.0
2004,1,"[35,45)",0.0
2004,1,"[45,100)",0.0
2011,0,"[15,25)",0.18
2011,0,"[25,35)",0.32
2011,0,"[35,45)",0.46
2011,0,"[45,100)",0.46
2011,1,"[15,25)",0.08
2011,1,"[25,35)",0.21
2011,1,"[35,45)",0.40
2011,1,"[45,100)",0.40
2016,0,"[15,25)",0.60
2016,0,"[25,35)",0.80
2016,0,"[35,45)",0.90
2016,0,"[45,100)",0.90
2016,1,"[15,25)",0.36
2016,1,"[25,35)",0.60
2016,1,"[35,45)",0.76
2016,1,"[45,100)",0.76
2021,0,"[15,25)",0.7935
2021,0,"[25,35)",0.8936
2021,0,"[35,45)",0.9698
2021,0,"[45,100)",0.9698
2021,1,"[15,25)",0.8325
2021,1,"[25,35)",0.6505
2021,1,"[35,45)",0.9018
2021,1,"[45,100)",0.9018
